此段落最初的2-5句話,此段落最末的2-5句話,段落大意
蕭峰於千鈞一髮中逃脫危難，暗叫一聲：「慚愧！」,阿紫氣息稍勻，這才將她橫抱懷中，快步而行，卻見她臉上已沒半點血色。,蕭峯千鈞一髮逃脫，阿紫被自己掌出十餘丈，性命危在旦夕，蕭峯將內力輸到他體內。
他邁開腳步，走得又快又穩，左手仍按在阿紫背心，不絕地輸以真氣。,這時阿紫卻片刻也離不開他手掌，否則氣息立時斷絕。,蕭峯邊走遍不斷的將真氣輸給阿紫，他明知是阿紫出手暗算他在先，但他不像負阿朱所託，拚了命也要救她。
第二晚仍是如此。蕭峰功力雖強，兩日兩晚勞頓下來，畢竟也疲累之極。,當下招呼店主進來，命他持銀兩去買酒買肉，自己續以內力保住阿紫性命。,蕭峯想喝酒身上卻已無銀兩，心想阿紫肯定有錢，翻找下果然有，卻也發現那「神木王鼎」。
到第四日早上，實在支持不住了，只得雙手各握阿紫一隻手掌，,結算了店帳，抱著阿紫，衝風冒雪的向北行走。,數日後，蕭峯覺得一直待在店家裡實屬不妥，便決定上路求助，要取神木王鼎時卻發現裡面多了兩支毒蟲！
他與中原豪傑結仇已深，卻又不願改裝易容，這一路向北，非與中土武林人物相遇不可。,那管家揀了一枝，付了銀兩，匆匆走了。,蕭峯帶阿紫去看病，大夫卻說阿紫已經死了，為何還帶她來，但想尋常人也不明白，便要離去，剛好聽到有人來要老山人參。
蕭峰取出一錠金子，將餘下的兩枝都買了。,晚間入睡之時，若有幾個時辰不給她接續真氣，她也能自行微微呼吸。,蕭峯取出銀子，把餘下的人參都買了去，之後一遇到藥店就進去買人參，錢花光了便用搶的。
如此漸行漸寒，蕭峰終於抱著阿紫，來到長白山中。,見樹根處生著些草菌，顏色灰白，看來無毒，便在火堆旁烤了一些，聊以充饑。,蕭峯來到長白山上尋人參，卻沒尋到一支，又天寒地凍、積雪數尺，只得先找地方休息。
見樹根處生著些草菌，顏色灰白，看來無毒，便在火堆旁烤了一些，聊以充饑。,那猛虎正自發力前沖，給他這麼一拉，兩股勁力一迸，虎身直飛向半空。,正要入睡，卻聽得虎嘯之聲，大喜可以吃肉，奔出看到一獵人，與他一起抓虎。
那獵人提著鐵叉，正自和另一頭猛虎廝鬥，突見蕭峰竟將猛虎摔向空中，一驚非同小可。,那人道：「完顏阿骨打！女真！」,獵人與蕭峯，一人用鐵叉、一人徒手，將兩隻老虎都殺了，互相介紹自己姓名。
蕭峰素聞遼國之東、高麗之北有個部族，名叫女真，,眾人紛紛圍到蕭峰身邊，伸手翹起大拇指，不住口地稱讚。,蕭峯提著老虎回到休息地，給阿紫喝虎血，阿骨打帶著二人回到族人營帳，述說蕭峯的英勇事蹟。
正熱鬧間，進來一個買賣人打扮的漢人，向蕭峰道,他念及阿朱的深情，甘任其勞，反覺多服侍阿紫一次，便多報答了阿朱一分，心下反覺欣慰。,一名會說很多語言的買賣漢人與蕭峯介紹，蕭峯也跟著他學些女真語和契丹語，數月來一直在這裡幫阿紫調理身體。
這一日阿骨打率領了十余名族人，要到西北山嶺去打大熊，邀蕭峰同去,走上草原，眾人追得更加快了。,阿骨打要和族人們去打熊，邀蕭峯一起前去，蕭峯欣然答應。
